ProFrac Holding Price to Free Cash Flow Ratio Historical Data,ProFrac Holding Price to Free Cash Flow Ratio Historical Data,ProFrac Holding Price to Free Cash Flow Ratio Historical Data,ProFrac Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.58,,4.49
2024-06-30,7.41,$1.47,5.05
2024-03-31,8.36,$-0.36,0.0
2023-12-31,8.48,$2.24,3.79
2023-09-30,10.88,$2.62,4.15
2023-06-30,11.16,$3.44,3.24
2023-03-31,12.67,$5.17,2.45
