Casella Waste Systems Price to Free Cash Flow Ratio Historical Data,Casella Waste Systems Price to Free Cash Flow Ratio Historical Data,Casella Waste Systems Price to Free Cash Flow Ratio Historical Data,Casella Waste Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,106.3,,118.2
2024-06-30,99.22,$0.90,110.33
2024-03-31,98.87,$1.08,91.49
2023-12-31,85.46,$1.43,59.57
2023-09-30,76.3,$1.60,47.77
2023-06-30,90.45,$1.58,57.2
2023-03-31,82.66,$1.42,58.14
2022-12-31,79.31,$1.68,47.22
2022-09-30,76.39,$1.40,54.53
2022-06-30,72.68,$1.45,50.19
2022-03-31,87.65,$1.29,67.7
2021-12-31,85.42,$1.17,73.06
2021-09-30,75.94,$0.97,78.49
2021-06-30,63.43,$0.88,71.8
2021-03-31,63.57,$0.87,73.14
2020-12-31,61.95,$0.66,93.93
2020-09-30,55.85,$1.10,50.6
2020-06-30,52.12,$0.70,74.85
2020-03-31,39.06,$-0.90,0.0
2019-12-31,46.03,$-0.58,0.0
2019-09-30,42.94,$-0.38,0.0
2019-06-30,39.63,$-0.27,0.0
2018-12-31,28.49,$1.10,25.96
2018-09-30,31.06,$2.20,14.09
2018-06-30,25.61,$1.33,19.2
2018-03-31,23.38,$1.60,14.64
2017-12-31,23.02,$1.83,12.61
2019-03-31,35.56,$0.55,64.96
2017-09-30,18.8,$1.04,18.05
2017-06-30,16.41,$0.73,22.4
2017-03-31,14.11,$0.91,15.53
2016-12-31,12.41,$0.67,18.57
2016-09-30,10.3,$0.74,13.86
2016-06-30,7.85,$0.64,12.17
2016-03-31,6.7,$0.58,11.52
2015-12-31,5.98,$0.52,11.45
2015-09-30,5.8,$0.55,10.54
2015-06-30,5.61,$0.32,17.54
2015-03-31,5.5,$-0.17,0.0
2014-12-31,4.04,$0.01,392.23
2014-10-31,4.5,$-0.31,0.0
2014-09-30,3.85,$0.02,193.47
2014-07-31,4.72,$-0.08,0.0
2014-06-30,5.01,$0.11,46.65
2014-04-30,5.1,$0.03,162.42
2014-03-31,5.11,$0.05,113.56
2014-01-31,5.13,$0.47,10.94
2013-10-31,5.91,$0.08,78.7
2013-07-31,4.77,$0.15,31.38
2013-04-30,4.36,$-0.31,0.0
2013-01-31,4.54,$-0.66,0.0
2012-10-31,4.58,$-0.31,0.0
2012-07-31,5.05,$-0.02,0.0
2012-04-30,6.03,$0.25,23.69
2012-01-31,6.86,$0.13,50.97
2011-10-31,6.28,$0.25,24.68
2011-07-31,6.29,$0.24,25.86
2011-04-30,6.76,$0.15,45.92
2011-01-31,8.02,$0.03,284.4
2010-10-31,4.93,$0.15,33.49
2010-07-31,3.99,$0.00,0.0
2010-04-30,5.16,$0.38,13.58
2010-01-31,4.35,$0.63,6.87
2009-10-31,2.79,$0.38,7.34
