Knight-Swift Transportation Holdings Price to Free Cash Flow Ratio Historical Data,Knight-Swift Transportation Holdings Price to Free Cash Flow Ratio Historical Data,Knight-Swift Transportation Holdings Price to Free Cash Flow Ratio Historical Data,Knight-Swift Transportation Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.82,,63.63
2024-06-30,49.76,$0.81,61.1
2024-03-31,54.67,$0.83,65.67
2023-12-31,57.12,$2.36,24.15
2023-09-30,49.57,$1.87,26.47
2023-06-30,54.77,$3.65,15.01
2023-03-31,55.64,$3.79,14.68
2022-12-31,51.41,$5.02,10.25
2022-09-30,47.9,$6.31,7.59
2022-06-30,45.21,$6.64,6.81
2022-03-31,49.15,$5.99,8.2
2021-12-31,59.23,$5.44,10.9
2021-09-30,49.63,$4.62,10.74
2021-06-30,44.02,$4.05,10.87
2021-03-31,46.47,$4.21,11.04
2020-12-31,40.34,$3.12,12.94
2020-09-30,39.18,$2.88,13.6
2020-06-30,40.09,$1.84,21.75
2020-03-31,31.46,$0.91,34.47
2019-12-31,34.29,$1.57,21.88
2019-09-30,34.68,$1.59,21.77
2019-06-30,31.32,$1.39,22.61
2019-03-31,31.1,$1.97,15.79
2018-12-31,23.81,$1.98,12.05
2018-09-30,32.69,$0.67,48.49
2018-06-30,36.17,$0.31,116.18
2018-03-31,43.49,$0.56,77.14
2017-12-31,41.27,$0.10,407.81
2017-09-30,39.17,$1.19,32.87
2017-06-30,34.92,$0.59,58.78
2017-03-31,29.55,$1.24,23.84
2016-12-31,31.15,$1.91,16.33
2016-09-30,27.04,$0.31,85.88
2016-06-30,25.06,$1.84,13.62
2016-03-31,24.65,$1.12,22.08
2015-12-31,22.84,$0.55,41.33
2015-09-30,22.62,$1.90,11.9
2015-06-30,25.21,$2.18,11.58
2015-03-31,30.4,$2.49,12.2
2014-12-31,31.73,$2.16,14.71
2014-09-30,25.82,$2.70,9.56
2014-06-30,22.41,$2.64,8.5
2014-03-31,21.8,$2.49,8.76
2013-12-31,17.29,$2.68,6.45
2013-09-30,15.52,$2.95,5.26
2013-06-30,15.74,$3.09,5.1
2013-03-31,15.02,$1.70,8.85
2012-12-31,13.59,$1.79,7.61
2012-09-30,12.79,$1.42,9.01
2012-06-30,14.25,$0.65,21.83
2011-12-31,13.83,$1.67,8.29
2011-09-30,11.73,$-1.12,0.0
2011-06-30,14.91,$-1.21,0.0
2011-03-31,16.83,$-0.15,0.0
2010-12-31,16.56,$-0.70,0.0
2012-03-31,15.68,$1.43,10.94
2010-09-30,16.16,$1.02,15.8
2010-06-30,16.87,$2.17,7.76
2010-03-31,17.53,$2.74,6.39
2009-12-31,15.99,$2.63,6.08
