Zoom Video Communications Price to Free Cash Flow Ratio Historical Data,Zoom Video Communications Price to Free Cash Flow Ratio Historical Data,Zoom Video Communications Price to Free Cash Flow Ratio Historical Data,Zoom Video Communications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,70.2,,12.75
2024-07-31,60.4,$5.51,10.97
2024-04-30,61.1,$5.27,11.59
2024-01-31,64.61,$4.77,13.54
2023-10-31,59.98,$4.25,14.12
2023-07-31,73.35,$3.76,19.49
2023-04-30,61.43,$3.57,17.21
2023-01-31,75.0,$3.90,19.23
2022-10-31,83.44,$3.94,21.18
2022-07-31,103.86,$4.22,24.61
2022-04-30,99.57,$4.96,20.06
2022-01-31,154.28,$4.82,32.04
2021-10-31,274.65,$5.48,50.14
2021-07-31,378.1,$5.54,68.3
2021-04-30,319.57,$5.30,60.28
2021-01-31,372.07,$4.67,79.73
2020-10-31,460.91,$3.54,130.37
2020-07-31,253.91,$2.44,104.07
2020-04-30,135.17,$1.19,113.8
2020-01-31,76.3,$0.45,170.5
