Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,256.09,,21.99
2024-06-30,225.08,$11.65,19.33
2024-03-31,244.65,$12.15,20.14
2023-12-31,243.1,$12.81,18.98
2023-03-31,195.62,$8.71,22.47
2022-12-31,200.04,$9.20,21.74
2022-09-30,187.05,$12.66,14.78
2022-06-30,203.6,$6.32,32.2
2022-03-31,259.3,$6.80,38.13
2021-12-31,237.96,$7.15,33.28
2023-06-30,200.22,$3.69,54.21
2021-09-30,184.25,$10.04,18.36
2021-06-30,205.73,$8.96,22.97
2021-03-31,205.19,$8.66,23.7
2020-12-31,192.95,$8.48,22.74
2020-09-30,181.57,$7.59,23.93
2020-06-30,155.16,$8.33,18.63
2020-03-31,128.71,$7.71,16.7
2019-12-31,163.98,$7.41,22.14
2019-09-30,146.12,$7.12,20.51
2019-06-30,151.65,$7.18,21.12
2019-03-31,149.16,$7.45,20.02
2018-12-31,122.68,$7.04,17.42
2018-09-30,144.51,$6.78,21.31
2018-06-30,125.07,$5.99,20.87
2018-03-31,118.08,$5.12,23.05
2017-12-31,117.15,$5.19,22.58
2017-09-30,100.77,$5.17,19.48
2017-06-30,94.09,$5.07,18.57
2017-03-31,91.01,$4.55,20.01
2016-12-31,88.59,$4.97,17.84
2016-09-30,82.83,$4.09,20.26
2016-06-30,73.68,$3.71,19.88
2016-03-31,66.73,$4.02,16.62
2015-12-31,65.15,$3.39,19.23
2015-09-30,73.18,$3.96,18.47
2015-06-30,78.44,$4.19,18.71
2015-03-31,88.61,$3.67,24.17
2014-12-31,97.02,$3.53,27.52
2014-09-30,87.92,$3.70,23.76
2014-06-30,80.51,$3.36,23.97
2014-03-31,75.39,$3.86,19.54
2013-12-31,67.15,$3.68,18.26
2013-09-30,61.79,$3.65,16.93
2013-06-30,61.05,$3.23,18.93
2013-03-31,56.11,$2.80,20.06
2012-12-31,49.28,$2.63,18.76
2012-09-30,46.27,$2.04,22.67
2012-06-30,46.28,$2.54,18.24
2012-03-31,41.47,$2.74,15.14
2011-12-31,40.66,$2.78,14.64
2011-09-30,31.15,$2.73,11.42
2011-06-30,39.62,$2.30,17.25
2011-03-31,37.14,$2.15,17.26
2010-12-31,34.86,$1.68,20.75
2010-09-30,30.65,$1.57,19.5
2010-06-30,25.92,$1.22,21.19
2010-03-31,27.21,$1.03,26.3
2009-12-31,23.63,$0.93,25.51
2009-09-30,21.48,$6.02,3.57
