Willis Lease Finance Price to Free Cash Flow Ratio Historical Data,Willis Lease Finance Price to Free Cash Flow Ratio Historical Data,Willis Lease Finance Price to Free Cash Flow Ratio Historical Data,Willis Lease Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,196.85,,61.15
2024-06-30,69.11,$3.22,21.47
2024-03-31,48.75,$22.39,2.18
2023-12-31,48.02,$22.53,2.13
2023-09-30,41.56,$9.04,4.6
2023-06-30,38.44,$-14.96,0.0
2023-03-31,53.82,$-15.76,0.0
2022-12-31,57.97,$-12.60,0.0
2022-09-30,32.17,$-15.12,0.0
2022-06-30,36.82,$-5.62,0.0
2022-03-31,31.62,$-8.39,0.0
2021-12-31,36.99,$-12.55,0.0
2021-09-30,36.54,$-62.22,0.0
2021-06-30,42.11,$-48.22,0.0
2021-03-31,42.7,$-69.31,0.0
2020-12-31,29.93,$-69.77,0.0
2020-09-30,18.13,$-14.20,0.0
2020-06-30,23.85,$-15.84,0.0
2019-12-31,57.88,$20.88,2.77
2019-09-30,54.41,$-3.64,0.0
2019-06-30,57.3,$-14.83,0.0
2019-03-31,41.65,$-24.80,0.0
2018-12-31,33.99,$-46.31,0.0
2020-03-31,26.13,$-34.29,0.0
2018-09-30,33.9,$-58.98,0.0
2018-06-30,31.04,$-55.74,0.0
2018-03-31,33.68,$-52.25,0.0
2017-12-31,24.53,$-32.69,0.0
2017-09-30,24.16,$-7.13,0.0
2017-06-30,26.26,$-8.10,0.0
2017-03-31,21.96,$-0.58,0.0
2016-12-31,25.13,$-3.06,0.0
2016-09-30,23.35,$1.59,14.7
2016-06-30,21.84,$3.38,6.47
2016-03-31,21.21,$-1.65,0.0
2015-12-31,19.75,$-4.93,0.0
2015-09-30,15.97,$-10.75,0.0
2015-06-30,18.05,$-8.80,0.0
2015-03-31,18.25,$-5.09,0.0
2014-12-31,21.52,$-3.25,0.0
2014-09-30,20.16,$1.82,11.07
2014-06-30,24.09,$6.16,3.91
2014-03-31,20.11,$-4.58,0.0
2013-12-31,17.06,$-6.38,0.0
2013-09-30,15.45,$-5.00,0.0
2013-06-30,13.27,$-7.19,0.0
2012-12-31,14.06,$4.46,3.15
2012-09-30,12.12,$16.00,0.76
2012-06-30,12.1,$8.93,1.35
2012-03-31,12.78,$16.44,0.78
2011-12-31,11.74,$13.81,0.85
2013-03-31,14.85,$1.23,12.11
2011-09-30,11.09,$5.33,2.08
2011-06-30,13.16,$-2.93,0.0
2011-03-31,12.42,$-2.28,0.0
2010-12-31,12.8,$-0.16,0.0
2010-09-30,9.88,$-2.24,0.0
2010-06-30,9.06,$-5.99,0.0
2010-03-31,15.5,$-9.11,0.0
2009-12-31,14.74,$-9.46,0.0
