Hut 8 Price to Free Cash Flow Ratio Historical Data,Hut 8 Price to Free Cash Flow Ratio Historical Data,Hut 8 Price to Free Cash Flow Ratio Historical Data,Hut 8 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.67,,0.0
2024-06-30,14.99,$-0.54,0.0
2024-03-31,11.04,$-0.39,0.0
2023-12-31,13.34,0,0.0
2023-09-30,1.95,$0.19,10.44
2023-06-30,3.3,$-0.24,0.0
2023-03-31,1.85,$-2.34,0.0
2022-12-31,0.85,$-1.99,0.0
2022-09-30,1.78,$-4.35,0.0
2022-06-30,1.33,$-6.23,0.0
2021-06-30,4.4,$-6.24,0.0
