Duolingo Price to Free Cash Flow Ratio Historical Data,Duolingo Price to Free Cash Flow Ratio Historical Data,Duolingo Price to Free Cash Flow Ratio Historical Data,Duolingo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,287.65,,64.59
2024-06-30,208.67,$4.45,46.86
2024-03-31,220.58,$3.97,55.55
2023-12-31,226.85,$3.01,75.37
2023-09-30,165.87,$2.30,72.1
2023-06-30,142.94,$1.73,82.84
2023-03-31,142.59,$1.33,107.36
2022-12-31,71.13,$1.10,64.49
2022-09-30,95.23,$0.83,114.9
2022-06-30,87.55,$0.83,105.66
