E2open Parent Holdings Price to Free Cash Flow Ratio Historical Data,E2open Parent Holdings Price to Free Cash Flow Ratio Historical Data,E2open Parent Holdings Price to Free Cash Flow Ratio Historical Data,E2open Parent Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.19,,26.72
2024-08-31,4.48,$0.12,37.52
2024-05-31,4.66,$0.18,25.67
2024-02-29,4.23,$0.18,23.1
2023-11-30,3.64,$0.17,21.34
2023-08-31,4.83,$0.28,17.26
2023-05-31,5.0,$0.15,34.08
2023-02-28,6.2,$0.07,93.37
2022-11-30,5.89,$0.08,77.2
2022-08-31,6.87,$-0.14,0.0
2022-05-31,8.08,$-0.05,0.0
2022-02-28,8.98,$0.08,113.81
2021-11-30,12.18,$-0.07,0.0
2021-08-31,11.94,$0.12,100.08
2021-05-31,12.74,$-0.04,0.0
2021-02-28,9.26,$0.01,0.0
2020-11-30,10.33,$0.08,130.26
