Bain Capital Specialty Finance Price to Free Cash Flow Ratio Historical Data,Bain Capital Specialty Finance Price to Free Cash Flow Ratio Historical Data,Bain Capital Specialty Finance Price to Free Cash Flow Ratio Historical Data,Bain Capital Specialty Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.79,,2.71
2024-06-30,15.88,$6.19,2.56
2024-03-31,14.86,$3.08,4.83
2023-12-31,13.88,$3.40,4.09
2023-09-30,13.72,$2.07,6.63
2023-06-30,11.79,$-1.37,0.0
2023-03-31,10.12,$-4.00,0.0
2022-12-31,9.79,$-4.91,0.0
2022-09-30,9.58,$-4.81,0.0
2022-06-30,10.57,$-3.42,0.0
2022-03-31,11.81,$-0.17,0.0
2021-12-31,11.28,$4.11,2.74
2021-09-30,10.77,$3.74,2.88
2021-06-30,10.85,$5.08,2.14
2021-03-31,10.26,$5.23,1.96
2020-12-31,8.23,$1.52,5.4
2020-09-30,6.73,$1.15,5.87
2020-06-30,7.08,$-2.02,0.0
2020-03-31,5.75,$-1.87,0.0
2019-12-31,11.73,$-4.70,0.0
2019-09-30,11.04,$-25.10,0.0
