NewMarket Price to Free Cash Flow Ratio Historical Data,NewMarket Price to Free Cash Flow Ratio Historical Data,NewMarket Price to Free Cash Flow Ratio Historical Data,NewMarket Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,528.8,,10.52
2024-06-30,513.28,$50.27,10.21
2024-03-31,628.8,$54.33,11.57
2023-12-31,538.65,$55.15,9.77
2023-09-30,447.25,$46.44,9.63
2023-06-30,393.27,$30.25,13.0
2023-03-31,354.98,$15.96,22.24
2022-12-31,300.74,$5.23,57.54
2022-09-30,288.85,$-1.90,0.0
2022-06-30,286.93,$5.05,56.85
2022-03-31,307.03,$7.47,41.12
2021-12-31,322.24,$11.11,29.01
2021-09-30,316.49,$21.75,14.55
2021-03-31,350.85,$17.90,19.6
2020-12-31,365.8,$19.24,19.02
2020-09-30,312.9,$29.63,10.56
2020-06-30,364.18,$29.06,12.53
2020-03-31,346.5,$28.86,12.01
2019-12-31,438.06,$31.55,13.88
2019-06-30,358.09,$20.12,17.79
2019-03-31,385.55,$12.58,30.66
2018-12-31,364.99,$10.71,34.09
2018-09-30,357.57,$7.19,49.73
2018-06-30,355.12,$9.32,38.1
2018-03-31,351.08,$7.90,44.45
2017-12-31,345.88,$7.96,43.47
2017-09-30,368.87,$9.26,39.85
2017-06-30,397.32,$0.87,458.85
2017-03-31,389.6,$5.21,74.72
2016-12-31,362.91,$9.26,39.21
2016-09-30,366.24,$7.45,49.15
2019-09-30,423.39,$14.65,28.9
2015-12-31,320.95,$11.56,27.76
2015-09-30,299.68,$11.91,25.15
2015-06-30,371.27,$9.94,37.33
2015-03-31,398.43,$11.72,33.98
2014-12-31,335.49,$14.21,23.62
2016-06-30,352.15,$10.46,33.66
2014-09-30,315.63,$14.16,22.3
2014-06-30,323.93,$17.66,18.34
2014-03-31,321.9,$16.14,19.94
2013-12-31,274.45,$22.54,12.18
2013-09-30,235.67,$18.99,12.41
2016-03-31,335.41,$16.25,20.64
2013-06-30,214.25,$18.30,11.71
2013-03-31,211.77,$12.81,16.53
2012-12-31,212.53,$7.90,26.9
2012-09-30,181.18,$6.25,28.98
2012-06-30,158.75,$5.11,31.06
2021-06-30,298.86,$6.05,49.44
2011-12-31,144.08,$9.56,15.07
2011-09-30,110.02,$10.23,10.75
2011-06-30,123.2,$9.61,12.83
2011-03-31,113.75,$10.00,11.38
2010-12-31,88.4,$11.90,7.43
2012-03-31,136.85,$9.73,14.07
2010-09-30,81.17,$3.51,23.16
2010-06-30,62.13,$3.52,17.66
2010-03-31,73.0,$5.54,13.19
2009-12-31,81.05,$8.96,9.05
