Eastern Bankshares Price to Free Cash Flow Ratio Historical Data,Eastern Bankshares Price to Free Cash Flow Ratio Historical Data,Eastern Bankshares Price to Free Cash Flow Ratio Historical Data,Eastern Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.48,,17.47
2024-06-30,13.98,$1.00,13.98
2024-03-31,13.78,$1.13,12.16
2023-12-31,14.2,$1.56,9.09
2023-09-30,12.54,$1.25,10.01
2023-06-30,12.27,$1.45,8.44
2023-03-31,12.62,$1.62,7.79
2022-12-31,17.25,$1.44,11.97
2022-09-30,19.44,$1.83,10.59
2022-06-30,18.18,$1.81,10.06
2022-03-31,21.1,$1.16,18.15
2021-12-31,19.67,$1.11,17.76
2021-09-30,19.72,$0.72,27.39
