Warrior Met Coal Price to Free Cash Flow Ratio Historical Data,Warrior Met Coal Price to Free Cash Flow Ratio Historical Data,Warrior Met Coal Price to Free Cash Flow Ratio Historical Data,Warrior Met Coal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.5,,24.22
2024-06-30,62.69,$2.62,23.91
2024-03-31,60.55,$1.71,35.48
2023-12-31,60.2,$4.02,14.96
2023-09-30,50.37,$4.91,10.25
2023-06-30,38.34,$8.28,4.63
2023-03-31,36.06,$13.56,2.66
2022-12-31,33.19,$12.31,2.7
2022-09-30,27.21,$13.13,2.07
2022-06-30,28.56,$10.16,2.81
2022-03-31,34.02,$6.17,5.52
2021-12-31,23.53,$5.71,4.12
2021-09-30,21.25,$3.07,6.93
2021-06-30,15.67,$2.17,7.22
2021-03-31,15.56,$1.23,12.69
2020-12-31,19.31,$0.49,39.06
2020-09-30,15.42,$0.11,139.3
2020-06-30,13.85,$2.43,5.69
2020-03-31,9.52,$6.31,1.51
2019-12-31,18.89,$8.32,2.27
2019-09-30,17.41,$10.49,1.66
2019-06-30,23.24,$9.58,2.43
2019-03-31,27.01,$7.47,3.62
2018-12-31,21.38,$8.71,2.46
2018-09-30,23.94,$7.79,3.07
2018-06-30,24.36,$7.81,3.12
2018-03-31,19.2,$9.70,1.98
