Archer Aviation Price to Free Cash Flow Ratio Historical Data,Archer Aviation Price to Free Cash Flow Ratio Historical Data,Archer Aviation Price to Free Cash Flow Ratio Historical Data,Archer Aviation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.19,,0.0
2024-06-30,3.52,$-1.22,0.0
2024-03-31,4.62,$-1.19,0.0
2023-12-31,6.14,$-1.17,0.0
2023-09-30,5.06,$-1.10,0.0
2023-06-30,4.12,$-1.07,0.0
2023-03-31,2.86,$-1.01,0.0
2022-12-31,1.87,$-0.86,0.0
2022-09-30,2.61,$-0.87,0.0
2022-06-30,3.08,$-0.84,0.0
2022-03-31,4.81,$-0.93,0.0
2021-12-31,6.04,$-1.01,0.0
2021-09-30,8.88,$-0.71,0.0
