Ardagh Metal Packaging S.A Price to Free Cash Flow Ratio Historical Data,Ardagh Metal Packaging S.A Price to Free Cash Flow Ratio Historical Data,Ardagh Metal Packaging S.A Price to Free Cash Flow Ratio Historical Data,Ardagh Metal Packaging S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.14,,8.16
2024-06-30,3.4,$0.51,6.7
2024-03-31,3.43,$0.39,8.83
2023-12-31,3.84,$0.42,9.22
2023-09-30,3.13,$-0.02,0.0
2023-06-30,3.76,$-0.35,0.0
2023-03-31,4.08,$-0.86,0.0
2022-12-31,4.81,$-0.22,0.0
2022-09-30,4.84,$-0.35,0.0
2022-06-30,6.1,$-0.70,0.0
2021-12-31,8.73,$-0.41,0.0
2021-09-30,9.63,$-0.44,0.0
2021-06-30,9.77,$0.05,188.95
2021-03-31,9.65,$-0.01,0.0
