Sable Offshore Price to Free Cash Flow Ratio Historical Data,Sable Offshore Price to Free Cash Flow Ratio Historical Data,Sable Offshore Price to Free Cash Flow Ratio Historical Data,Sable Offshore Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.9,,0.0
2024-06-30,15.07,$-2.54,0.0
2024-03-31,10.96,$-1.51,0.0
2023-12-31,11.39,$-0.53,0.0
2023-09-30,10.46,$-0.46,0.0
2023-06-30,10.27,$-0.15,0.0
2023-03-31,10.13,$-0.20,0.0
2022-12-31,10.05,$-0.24,0.0
2022-09-30,9.83,$-0.22,0.0
2022-06-30,9.79,$-0.22,0.0
2022-03-31,9.75,$-0.32,0.0
