Nuvei Price to Free Cash Flow Ratio Historical Data,Nuvei Price to Free Cash Flow Ratio Historical Data,Nuvei Price to Free Cash Flow Ratio Historical Data,Nuvei Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.58,,19.5
2024-06-30,32.38,$1.72,18.8
2024-03-31,31.62,$1.52,20.83
2023-12-31,26.26,$1.82,14.46
2023-09-30,15.0,$1.73,8.69
2023-06-30,29.56,$1.48,20.03
2023-03-31,43.53,$1.70,25.58
2022-12-31,25.41,$1.76,14.47
2022-09-30,27.05,$3.09,8.75
