Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,171.54,,25.14
2024-06-30,163.94,$6.82,24.02
2024-03-31,160.26,$6.56,24.44
2023-12-31,143.83,$6.48,22.2
2023-09-30,142.26,$5.91,24.09
2023-06-30,147.07,$5.57,26.41
2023-03-31,143.22,$4.89,29.26
2022-12-31,145.06,$4.63,31.36
2022-09-30,119.97,$5.24,22.91
2022-06-30,135.76,$5.39,25.2
2022-03-31,143.46,$5.50,26.09
2021-12-31,152.76,$5.85,26.11
2021-09-30,129.74,$5.94,21.84
2021-06-30,124.44,$6.01,20.71
2021-03-31,124.1,$6.28,19.77
2020-12-31,126.73,$6.22,20.38
2020-09-30,125.89,$5.79,21.75
2020-06-30,107.63,$5.47,19.68
2020-03-31,98.36,$5.49,17.91
2019-12-31,111.02,$5.23,21.21
2019-09-30,109.86,$5.05,21.74
2019-06-30,96.23,$4.84,19.89
2019-03-31,90.67,$4.49,20.2
2018-12-31,79.47,$4.41,18.02
2018-09-30,71.32,$4.28,16.66
2018-06-30,66.29,$4.30,15.42
2018-03-31,66.69,$4.01,16.62
2017-12-31,76.7,$3.95,19.42
2017-09-30,75.38,$3.71,20.34
2017-06-30,71.65,$3.63,19.75
2017-03-31,73.3,$3.78,19.39
2016-12-31,68.06,$3.79,17.94
2016-09-30,72.08,$4.25,16.98
2016-06-30,67.47,$4.41,15.29
2016-03-31,65.06,$4.53,14.36
2015-12-31,62.23,$4.59,13.54
2015-09-30,55.87,$4.40,12.69
2015-06-30,60.27,$5.34,11.29
2015-03-31,62.61,$5.41,11.57
2014-12-31,69.11,$5.55,12.44
2014-09-30,63.05,$5.23,12.06
2014-06-30,58.7,$3.68,15.96
2014-03-31,59.73,$3.35,17.84
2013-12-31,59.87,$3.26,18.35
2013-09-30,55.17,$3.66,15.09
2013-06-30,55.77,$3.90,14.31
2013-03-31,55.39,$4.73,11.71
2012-12-31,48.41,$4.72,10.26
2012-09-30,49.06,$4.39,11.17
2012-06-30,42.95,$4.15,10.34
2012-03-31,46.74,$3.28,14.23
2011-12-31,46.02,$3.37,13.64
2011-09-30,43.24,$3.23,13.41
2011-06-30,43.15,$3.41,12.64
2011-03-31,41.47,$3.24,12.79
2010-12-31,42.99,$3.50,12.27
2010-09-30,39.78,$4.49,8.85
2010-06-30,39.47,$5.21,7.58
2010-03-31,41.32,$5.65,7.32
2009-12-31,39.31,$7.13,5.51
