Laureate Education Price to Free Cash Flow Ratio Historical Data,Laureate Education Price to Free Cash Flow Ratio Historical Data,Laureate Education Price to Free Cash Flow Ratio Historical Data,Laureate Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.72,,13.35
2024-06-30,14.94,$1.18,12.69
2024-03-31,14.57,$1.24,11.76
2023-12-31,13.71,$1.26,10.88
2023-09-30,14.1,$0.92,15.3
2023-06-30,12.09,$1.36,8.87
2023-03-31,11.76,$1.03,11.47
2022-12-31,9.62,$1.24,7.75
2022-09-30,10.55,$-0.07,0.0
2022-06-30,11.57,$6.77,1.71
2022-03-31,11.85,$10.45,1.13
2021-12-31,12.24,$10.25,1.19
2021-09-30,9.49,$14.83,0.64
2021-06-30,8.1,$7.72,1.05
2021-03-31,7.59,$4.39,1.73
2020-12-31,8.13,$4.12,1.97
2020-09-30,7.42,$1.67,4.44
2020-06-30,5.56,$1.88,2.95
2020-03-31,5.87,$5.10,1.15
2019-12-31,9.83,$6.75,1.46
2019-09-30,9.25,$5.95,1.56
2019-06-30,8.77,$6.28,1.4
2019-03-31,8.36,$2.40,3.48
2018-12-31,8.51,$2.51,3.39
2018-09-30,8.62,$1.74,4.95
2018-06-30,8.0,$2.19,3.66
2018-03-31,7.68,$1.70,4.52
2017-12-31,7.57,$-0.42,0.0
