Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-09-20,40.0,,0.0
2024-06-30,38.99,$-0.89,0.0
2024-03-31,21.01,$-1.46,0.0
2023-12-31,25.74,$-1.57,0.0
2023-09-30,18.26,$-0.82,0.0
2023-06-30,15.84,$-0.98,0.0
2023-03-31,23.97,$-1.22,0.0
2022-12-31,17.0,$-1.17,0.0
2022-09-30,15.17,$-2.58,0.0
2022-06-30,17.75,$-2.88,0.0
2022-03-31,19.14,$-2.50,0.0
2021-12-31,24.76,$-0.79,0.0
2020-12-31,33.62,$-0.23,0.0
2020-09-30,24.0,$-0.22,0.0
2020-06-30,23.2,$-0.43,0.0
