Ero Copper Price to Free Cash Flow Ratio Historical Data,Ero Copper Price to Free Cash Flow Ratio Historical Data,Ero Copper Price to Free Cash Flow Ratio Historical Data,Ero Copper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.45,,0.0
2024-03-31,19.28,$-3.27,0.0
2023-12-31,15.79,$-3.14,0.0
2023-09-30,17.24,$-2.92,0.0
2023-06-30,20.23,$-2.65,0.0
2023-03-31,17.64,$-2.28,0.0
2022-12-31,13.75,$-1.65,0.0
2022-09-30,11.0,$-0.94,0.0
2022-06-30,8.43,$0.59,14.33
2022-03-31,14.64,$1.89,7.75
