GlobalFoundries Price to Free Cash Flow Ratio Historical Data,GlobalFoundries Price to Free Cash Flow Ratio Historical Data,GlobalFoundries Price to Free Cash Flow Ratio Historical Data,GlobalFoundries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,46.68,,23.13
2024-06-30,50.56,$2.02,25.06
2024-03-31,52.11,$1.73,30.1
2023-12-31,60.6,$0.62,97.66
2023-09-30,58.19,$-1.07,0.0
2023-06-30,64.58,$-1.15,0.0
2023-03-31,72.18,$-1.74,0.0
2022-12-31,53.89,$-0.71,0.0
2022-09-30,48.35,$3.05,15.83
