Coca-Cola Consolidated Price to Free Cash Flow Ratio Historical Data,Coca-Cola Consolidated Price to Free Cash Flow Ratio Historical Data,Coca-Cola Consolidated Price to Free Cash Flow Ratio Historical Data,Coca-Cola Consolidated Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1305.59,,26.22
2024-06-30,1084.52,$49.79,21.78
2024-03-31,845.53,$49.40,17.12
2023-12-31,909.57,$50.80,17.9
2023-09-30,622.93,$51.24,12.16
2023-06-30,622.15,$42.58,14.61
2023-03-31,522.95,$34.79,15.03
2022-12-31,497.29,$24.62,20.2
2022-09-30,399.41,$24.72,16.16
2022-06-30,546.75,$25.27,21.64
2022-03-31,481.48,$30.53,15.77
2021-12-31,599.77,$31.85,18.83
2021-09-30,381.58,$30.17,12.65
2021-06-30,389.03,$28.32,13.74
2021-03-31,279.15,$29.02,9.62
2020-12-31,257.14,$25.26,10.18
2020-09-30,232.2,$24.08,9.64
2020-06-30,220.87,$21.25,10.39
2020-03-31,200.74,$7.49,26.8
2019-12-31,273.2,$17.68,15.45
2019-09-30,291.99,$11.48,25.44
2019-06-30,287.31,$13.11,21.91
2018-12-31,169.97,$3.11,54.72
2018-09-30,174.41,$6.20,28.13
2018-06-30,129.06,$9.21,14.02
2018-03-31,164.67,$-0.04,0.0
2017-12-31,205.04,$12.41,16.52
2019-03-31,276.14,$5.59,49.41
2017-09-30,205.28,$6.42,31.97
2017-06-30,217.53,$9.34,23.29
2017-03-31,195.58,$10.24,19.1
2016-12-31,169.54,$-0.82,0.0
2016-09-30,140.2,$-1.58,0.0
2016-06-30,139.3,$-4.15,0.0
2016-03-31,150.68,$-6.36,0.0
2015-12-31,171.88,$-4.66,0.0
2015-09-30,181.91,$-1.06,0.0
2015-06-30,141.88,$0.83,171.06
2015-03-31,105.94,$0.09,1230.49
2014-12-31,82.29,$0.81,102.17
2014-09-30,69.56,$-0.43,0.0
2014-06-30,68.42,$1.70,40.34
2014-03-31,78.69,$4.10,19.19
2013-12-31,67.52,$3.59,18.79
2013-09-30,57.49,$3.24,17.73
2013-06-30,55.98,$3.22,17.38
2013-03-31,54.99,$-5.07,0.0
2012-12-31,60.39,$-0.20,0.0
2012-09-30,61.62,$3.77,16.34
2012-06-30,57.94,$0.33,178.22
2011-12-31,52.35,$5.13,10.2
2011-09-30,49.38,$10.52,4.69
2011-06-30,60.01,$3.56,16.85
2011-03-31,59.06,$7.23,8.17
2010-12-31,48.89,$8.09,6.04
2012-03-31,56.33,$0.35,161.44
2010-09-30,46.35,$4.18,11.09
2010-06-30,41.76,$2.61,15.99
2010-03-31,50.89,$4.20,12.11
2009-12-31,46.62,$3.93,11.88
