Kura Sushi USA Price to Free Cash Flow Ratio Historical Data,Kura Sushi USA Price to Free Cash Flow Ratio Historical Data,Kura Sushi USA Price to Free Cash Flow Ratio Historical Data,Kura Sushi USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.98,,0.0
2024-05-31,99.91,$-1.81,0.0
2024-02-29,95.03,$-2.17,0.0
2023-11-30,62.48,$-1.80,0.0
2023-08-31,87.37,$-1.97,0.0
2023-05-31,81.49,$-1.94,0.0
2023-02-28,62.62,$-1.34,0.0
2022-11-30,65.7,$-1.58,0.0
2022-08-31,74.76,$-0.32,0.0
2022-05-31,37.69,$-0.30,0.0
2022-02-28,52.7,$-0.52,0.0
2021-11-30,63.6,$-0.91,0.0
2021-08-31,50.81,$-2.49,0.0
2021-05-31,42.98,$-3.32,0.0
2021-02-28,29.89,$-4.64,0.0
2020-11-30,16.47,$-3.83,0.0
2020-08-31,12.22,$-3.29,0.0
2020-05-31,14.59,$-3.16,0.0
