Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,162.37,,36.35
2024-06-30,141.13,$4.47,31.59
2024-03-31,128.74,$5.06,25.46
2023-12-31,130.12,$4.93,26.38
2023-09-30,123.19,$7.84,15.72
2023-06-30,144.12,$6.05,23.83
2023-03-31,142.0,$6.99,20.32
2022-12-31,146.31,$7.02,20.84
2022-09-30,143.3,$6.78,21.14
2022-06-30,160.2,$8.32,19.26
2022-03-31,191.09,$7.80,24.49
2021-12-31,208.3,$7.50,27.79
2021-09-30,168.67,$6.71,25.12
2021-06-30,151.27,$6.38,23.69
2021-03-31,128.76,$5.00,25.76
2020-12-31,112.11,$4.75,23.59
2020-09-30,101.78,$5.42,18.77
2020-06-30,99.77,$5.46,18.26
2020-03-31,88.86,$5.52,16.09
2019-12-31,112.87,$5.79,19.49
2019-09-30,110.48,$3.95,27.98
2019-06-30,99.28,$4.01,24.77
2019-03-31,91.38,$3.20,28.52
2018-12-31,79.2,$3.25,24.36
2018-09-30,82.11,$3.23,25.43
2018-06-30,81.75,$3.85,21.24
2018-03-31,73.35,$3.59,20.46
2017-12-31,80.04,$3.24,24.72
2017-09-30,84.39,$3.21,26.3
2017-06-30,82.49,$2.86,28.84
2017-03-31,78.97,$3.21,24.59
2016-12-31,75.32,$3.28,22.98
2016-09-30,71.62,$4.48,15.98
2016-06-30,80.46,$4.45,18.07
2016-03-31,76.66,$6.13,12.5
2015-12-31,67.49,$6.57,10.28
2015-09-30,60.29,$3.89,15.51
2015-06-30,53.08,$4.48,11.84
2015-03-31,55.75,$1.98,28.09
2014-12-31,53.37,$2.82,18.92
2014-09-30,46.41,$3.73,12.44
2014-06-30,51.12,$3.42,14.94
2014-03-31,47.27,$5.35,8.83
2013-12-31,41.56,$3.38,12.29
2013-09-30,42.29,$4.75,8.9
2013-06-30,45.39,$-0.31,0.0
2013-03-31,45.8,$-2.60,0.0
2012-12-31,42.49,$-1.31,0.0
2012-09-30,42.42,$-4.16,0.0
2012-06-30,43.89,$-2.01,0.0
2012-03-31,42.68,$-4.38,0.0
2011-12-31,39.4,$-5.93,0.0
2011-09-30,37.53,$-5.05,0.0
2011-06-30,41.68,$-7.01,0.0
2011-03-31,39.26,$-5.37,0.0
2010-12-31,38.44,$-2.93,0.0
2010-09-30,34.93,$-4.71,0.0
2010-06-30,30.5,$-1.10,0.0
2010-03-31,30.33,$0.84,36.3
2009-12-31,27.92,$-0.15,0.0
