Rocket Price to Free Cash Flow Ratio Historical Data,Rocket Price to Free Cash Flow Ratio Historical Data,Rocket Price to Free Cash Flow Ratio Historical Data,Rocket Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.01,,0.0
2024-06-30,13.7,$-21.81,0.0
2024-03-31,14.55,$-0.81,0.0
2023-12-31,14.48,$0.03,574.6
2023-09-30,8.18,$-0.06,0.0
2023-06-30,8.96,$1.30,6.89
2023-03-31,9.06,$0.33,27.31
2022-12-31,7.0,$5.44,1.29
2022-09-30,6.32,$7.04,0.9
2022-06-30,7.36,$5.89,1.25
2022-03-31,11.12,$-42.86,0.0
2021-12-31,12.94,$3.83,3.38
2021-09-30,14.82,$21.43,0.69
2021-06-30,17.88,$-14.09,0.0
