Coursera Price to Free Cash Flow Ratio Historical Data,Coursera Price to Free Cash Flow Ratio Historical Data,Coursera Price to Free Cash Flow Ratio Historical Data,Coursera Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.64,,18.82
2024-06-30,7.16,$0.41,17.64
2024-03-31,14.02,$0.21,67.76
2023-12-31,19.37,$0.09,220.87
2023-09-30,18.69,$-0.02,0.0
2023-06-30,13.02,$-0.11,0.0
2023-03-31,11.52,$-0.05,0.0
2022-12-31,11.83,$-0.36,0.0
2022-09-30,10.78,$-0.33,0.0
2022-06-30,14.18,$-0.29,0.0
2022-03-31,23.04,$-0.19,0.0
2021-12-31,24.44,$-0.10,0.0
