New Fortress Energy LLC Price to Free Cash Flow Ratio Historical Data,New Fortress Energy LLC Price to Free Cash Flow Ratio Historical Data,New Fortress Energy LLC Price to Free Cash Flow Ratio Historical Data,New Fortress Energy LLC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.13,,0.0
2024-06-30,21.98,$-10.07,0.0
2024-03-31,30.59,$-10.25,0.0
2023-12-31,37.73,$-10.60,0.0
2023-09-30,32.78,$-8.65,0.0
2023-06-30,26.78,$-7.29,0.0
2023-03-31,29.43,$-5.28,0.0
2022-12-31,42.42,$-3.90,0.0
2022-09-30,43.71,$-3.47,0.0
2022-06-30,39.5,$-2.48,0.0
2022-03-31,42.43,$-2.16,0.0
2021-12-31,23.96,$-2.90,0.0
2021-09-30,27.43,$-4.04,0.0
2021-06-30,37.32,$-1.30,0.0
2021-03-31,45.13,$0.38,117.28
2020-12-31,52.56,$-2.65,0.0
2020-09-30,43.07,$-10.82,0.0
2020-06-30,12.64,$-17.70,0.0
2020-03-31,9.55,$-21.56,0.0
2019-12-31,15.28,$-29.30,0.0
