ServisFirst Bancshares Price to Free Cash Flow Ratio Historical Data,ServisFirst Bancshares Price to Free Cash Flow Ratio Historical Data,ServisFirst Bancshares Price to Free Cash Flow Ratio Historical Data,ServisFirst Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.57,,23.63
2024-06-30,62.65,$3.71,16.91
2024-03-31,65.79,$3.53,18.61
2023-12-31,65.76,$3.55,18.53
2023-09-30,51.26,$3.28,15.64
2023-06-30,39.99,$4.35,9.2
2023-03-31,53.02,$4.70,11.28
2022-12-31,66.54,$4.97,13.38
2022-09-30,76.94,$4.92,15.63
2022-06-30,75.68,$4.96,15.27
2022-03-31,91.12,$4.84,18.84
2021-12-31,81.02,$4.77,16.99
2021-09-30,74.01,$4.81,15.4
2021-06-30,64.51,$3.73,17.3
2021-03-31,58.03,$3.77,15.41
2020-12-31,38.0,$3.54,10.74
2020-09-30,31.93,$3.30,9.67
2020-06-30,33.38,$3.84,8.7
2020-03-31,27.24,$3.23,8.44
2019-12-31,34.8,$3.02,11.52
2019-09-30,30.47,$2.88,10.58
2019-06-30,31.35,$2.82,11.11
2019-03-31,30.76,$3.17,9.71
2018-12-31,28.91,$3.13,9.22
2018-09-30,35.51,$2.73,13.02
2018-06-30,37.75,$2.58,14.63
2018-03-31,36.83,$2.10,17.53
2017-12-31,37.34,$1.80,20.77
2017-09-30,34.91,$1.44,24.25
2017-06-30,33.11,$1.37,24.14
2017-03-31,32.61,$1.36,24.06
2016-12-31,33.51,$1.42,23.54
2016-09-30,23.21,$1.62,14.32
2016-06-30,22.01,$1.58,13.92
2016-03-31,19.75,$1.63,12.08
2015-12-31,21.11,$1.40,15.06
2015-09-30,18.42,$1.49,12.35
2015-06-30,16.64,$1.05,15.87
2015-03-31,14.58,$1.67,8.71
