Elanco Animal Health Price to Free Cash Flow Ratio Historical Data,Elanco Animal Health Price to Free Cash Flow Ratio Historical Data,Elanco Animal Health Price to Free Cash Flow Ratio Historical Data,Elanco Animal Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.83,,14.88
2024-06-30,14.43,$0.86,16.74
2024-03-31,16.28,$0.70,23.33
2023-12-31,14.9,$0.27,55.99
2023-09-30,11.24,$-0.10,0.0
2023-06-30,10.06,$-0.12,0.0
2023-03-31,9.4,$0.40,23.67
2022-12-31,12.22,$0.58,21.23
2022-09-30,12.41,$0.96,12.91
2022-06-30,19.63,$0.78,25.2
2022-03-31,26.09,$0.49,53.01
2021-12-31,28.38,$0.67,42.68
2021-09-30,31.89,$0.10,329.1
2021-06-30,34.69,$-0.40,0.0
2021-03-31,29.45,$-0.21,0.0
2020-12-31,30.67,$-0.24,0.0
2020-09-30,27.93,$0.04,655.63
2020-06-30,21.45,$0.65,32.88
2020-03-31,22.39,$0.26,86.48
2019-12-31,29.45,$0.23,129.85
2019-09-30,26.59,$0.51,52.27
2019-06-30,33.8,$1.17,28.84
