Indivior Price to Free Cash Flow Ratio Historical Data,Indivior Price to Free Cash Flow Ratio Historical Data,Indivior Price to Free Cash Flow Ratio Historical Data,Indivior Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.59,,0.0
2024-06-30,16.12,$-1.69,0.0
2024-03-31,21.42,$-3.56,0.0
