Oxford Industries Price to Free Cash Flow Ratio Historical Data,Oxford Industries Price to Free Cash Flow Ratio Historical Data,Oxford Industries Price to Free Cash Flow Ratio Historical Data,Oxford Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,79.66,,10.72
2024-07-31,105.33,$7.43,14.17
2024-04-30,107.05,$9.79,10.93
2024-01-31,93.68,$10.83,8.65
2023-10-31,82.73,$8.93,9.27
2023-07-31,104.97,$8.20,12.8
2023-04-30,99.81,$6.43,15.53
2023-01-31,112.65,$4.86,23.2
2022-10-31,97.25,$6.23,15.6
2022-07-31,90.65,$7.20,12.59
2022-04-30,84.59,$9.36,9.04
2022-01-31,77.32,$10.71,7.22
2021-10-31,86.63,$11.09,7.81
2021-07-31,80.86,$10.55,7.67
2021-04-30,84.48,$0.47,181.29
2021-01-31,60.16,$0.46,130.9
2020-10-31,37.83,$-2.99,0.0
2020-07-31,39.24,$1.49,26.27
2020-01-31,62.64,$5.00,12.54
2019-10-31,61.84,$9.65,6.41
2019-07-31,65.38,$6.56,9.97
2019-04-30,73.81,$2.58,28.62
2019-01-31,67.74,$6.71,10.09
2020-04-30,38.09,$-1.28,0.0
2018-10-31,78.36,$4.44,17.63
2018-07-31,80.79,$2.99,27.0
2018-04-30,67.32,$3.28,20.55
2018-01-31,68.55,$4.77,14.37
2017-10-31,56.01,$5.68,9.86
2017-07-31,54.5,$5.12,10.64
2017-04-30,49.83,$4.99,9.98
2017-01-31,47.06,$4.15,11.33
2016-10-31,53.39,$6.00,8.9
2016-07-31,48.48,$6.54,7.41
2016-04-30,56.06,$5.41,10.36
2016-01-31,58.71,$5.53,10.61
2015-10-31,60.94,$2.81,21.67
2015-07-31,70.0,$2.18,32.16
2015-04-30,66.06,$1.97,33.6
2015-01-31,46.36,$2.74,16.95
2014-10-31,50.57,$1.76,28.7
2014-07-31,49.0,$1.61,30.47
2014-04-30,54.12,$2.03,26.62
2014-01-31,61.69,$0.57,108.61
2013-10-31,58.53,$0.23,259.69
2013-07-31,55.05,$1.03,53.55
2013-04-30,47.97,$0.05,1054.2
2013-01-31,39.93,$0.39,103.55
2012-10-31,44.72,$-0.06,0.0
2012-07-31,34.76,$0.04,817.93
2012-04-30,38.45,$-1.05,0.0
2012-01-31,40.67,$0.54,75.21
2011-10-31,31.45,$1.21,26.0
2011-07-31,31.09,$1.74,17.92
2011-04-30,27.16,$1.68,16.14
2011-01-31,18.64,$1.35,13.79
2010-10-31,18.06,$1.24,14.62
2010-07-31,17.48,$2.13,8.2
2010-04-30,16.77,$3.62,4.64
2010-01-31,13.79,$3.05,4.53
2009-10-31,14.89,$3.70,4.03
