Check Point Software Technologies Price to Free Cash Flow Ratio Historical Data,Check Point Software Technologies Price to Free Cash Flow Ratio Historical Data,Check Point Software Technologies Price to Free Cash Flow Ratio Historical Data,Check Point Software Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,207.44,,23.94
2024-06-30,165.0,$8.66,19.04
2024-03-31,164.01,$8.54,19.2
2023-12-31,152.79,$8.61,17.74
2023-09-30,133.28,$8.54,15.61
2023-06-30,125.62,$8.61,14.6
2023-03-31,130.0,$8.64,15.05
2022-12-31,126.16,$8.52,14.81
2022-09-30,112.02,$8.96,12.51
2022-06-30,121.78,$8.86,13.74
2022-03-31,138.26,$9.19,15.05
2021-12-31,116.56,$8.86,13.16
2021-09-30,113.04,$8.65,13.07
2021-06-30,116.13,$8.52,13.63
2021-03-31,111.97,$8.33,13.44
2020-12-31,132.91,$8.04,16.53
2020-09-30,120.34,$11.47,10.49
2020-06-30,107.43,$7.41,14.5
2020-03-31,100.54,$7.13,14.09
2019-12-31,110.96,$7.09,15.65
2019-09-30,109.5,$3.19,34.28
2019-06-30,115.61,$7.05,16.4
2019-03-31,126.49,$6.87,18.4
2018-12-31,102.65,$7.07,14.53
2018-09-30,117.67,$8.56,13.75
2018-06-30,97.68,$8.32,11.74
2018-03-31,99.34,$9.05,10.98
2017-12-31,103.62,$7.60,13.63
2017-06-30,109.08,$5.76,18.94
2017-03-31,102.66,$5.60,18.34
2016-12-31,84.46,$5.34,15.82
2016-09-30,77.61,$5.46,14.22
2016-06-30,79.68,$5.48,14.54
2016-03-31,87.47,$5.36,16.31
2015-12-31,81.38,$5.06,16.08
2015-09-30,79.33,$5.04,15.72
2015-06-30,79.55,$4.83,16.46
2015-03-31,81.97,$4.66,17.61
2014-12-31,78.57,$4.02,19.54
2014-09-30,69.24,$3.17,21.83
2014-06-30,67.03,$3.10,21.65
2014-03-31,67.63,$3.26,20.72
2013-12-31,64.5,$4.02,16.05
2013-09-30,56.56,$4.75,11.9
2013-06-30,49.68,$4.65,10.68
2013-03-31,46.99,$4.36,10.78
2012-12-31,47.64,$4.02,11.84
2012-09-30,48.16,$3.84,12.53
2012-06-30,49.59,$3.68,13.47
2012-03-31,63.84,$3.75,17.03
2011-12-31,52.54,$3.44,15.28
2011-09-30,52.76,$3.32,15.87
2011-06-30,56.85,$3.28,17.33
2011-03-31,51.05,$3.17,16.1
2010-12-31,46.26,$3.21,14.41
2010-09-30,36.93,$0.07,494.38
2010-06-30,29.48,$2.40,12.28
2010-03-31,35.07,$2.29,15.32
2009-12-31,33.88,$1.80,18.8
2017-09-30,114.02,$4.93,23.13
