Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,256.16,,945.24
2024-06-30,213.51,$0.27,787.84
2023-12-31,232.5,$4.03,57.72
2023-09-30,192.34,$14.10,13.64
2023-06-30,220.17,$14.97,14.7
2023-03-31,204.48,$18.72,10.93
2022-12-31,236.43,$18.08,13.08
2024-03-31,252.01,$11.37,22.17
2022-09-30,200.06,$12.01,16.66
2022-06-30,215.83,$11.10,19.44
2022-03-31,269.53,$11.42,23.6
2021-12-31,280.08,$11.87,23.6
2021-09-30,224.22,$11.65,19.24
2021-06-30,247.68,$10.80,22.93
2021-03-31,249.72,$9.88,25.28
2020-12-31,220.09,$9.65,22.81
2020-09-30,197.39,$9.55,20.68
2020-06-30,161.18,$9.02,17.87
2020-03-31,133.29,$9.26,14.4
2019-12-31,176.45,$8.47,20.83
2019-09-30,162.46,$7.88,20.61
2019-06-30,179.32,$7.85,22.85
2019-03-31,167.42,$7.60,22.02
2018-12-31,133.28,$7.06,18.87
2018-09-30,160.11,$7.46,21.48
2018-06-30,133.21,$7.04,18.92
2018-03-31,119.28,$6.00,19.88
2017-12-31,126.67,$5.97,21.23
2017-09-30,115.08,$5.02,22.93
2017-06-30,105.34,$5.08,20.74
2017-03-31,96.41,$4.19,23.01
2016-12-31,92.58,$4.31,21.46
2016-09-30,82.62,$4.10,20.16
2016-06-30,71.98,$1.61,44.72
2016-03-31,69.93,$2.75,25.42
2015-12-31,70.44,$1.93,36.59
2015-09-30,63.15,$1.13,55.71
2015-06-30,71.7,$2.90,24.7
2015-03-31,83.98,$3.01,27.93
2014-12-31,88.94,$2.92,30.51
2014-09-30,90.09,$3.95,22.79
2014-06-30,82.72,$3.94,20.98
2014-03-31,77.57,$3.56,21.81
2013-12-31,73.67,$3.97,18.58
2013-09-30,61.02,$3.37,18.09
2013-06-30,56.91,$3.10,18.39
2013-03-31,59.98,$2.54,23.66
2012-12-31,47.77,$3.12,15.29
2012-09-30,48.76,$2.37,20.55
2012-06-30,54.62,$3.15,17.35
2012-03-31,49.79,$4.40,11.32
2011-12-31,54.75,$3.28,16.71
2011-09-30,45.58,$4.12,11.07
2011-06-30,55.64,$3.68,15.12
2011-03-31,51.15,$2.86,17.91
2010-12-31,46.09,$3.61,12.78
2010-09-30,43.41,$3.83,11.34
2010-06-30,38.46,$3.71,10.38
2010-03-31,40.28,$2.79,14.46
2009-12-31,37.52,$1.73,21.64
