Graham Holdings Price to Free Cash Flow Ratio Historical Data,Graham Holdings Price to Free Cash Flow Ratio Historical Data,Graham Holdings Price to Free Cash Flow Ratio Historical Data,Graham Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,823.5,,23.37
2024-06-30,696.55,$35.24,19.77
2024-03-31,762.5,$31.64,24.1
2023-12-31,690.17,$36.68,18.81
2023-09-30,576.1,$32.63,17.66
2023-06-30,563.08,$22.82,24.67
2023-03-31,585.46,$26.73,21.9
2022-12-31,592.2,$32.67,18.13
2022-09-30,525.85,$28.59,18.39
2022-06-30,552.51,$14.43,38.28
2022-03-31,594.51,$14.42,41.23
2021-12-31,610.7,$10.11,60.42
2021-09-30,569.79,$47.69,11.95
2021-06-30,611.63,$65.62,9.32
2021-03-31,541.43,$75.98,7.13
2020-12-31,512.13,$71.35,7.18
2020-09-30,386.63,$50.97,7.59
2020-06-30,326.53,$42.44,7.69
2020-03-31,323.73,$27.20,11.9
2019-12-31,604.73,$23.68,25.54
2019-09-30,626.52,$20.29,30.88
2019-06-30,650.39,$27.13,23.98
2019-03-31,642.66,$30.34,21.18
2018-12-31,601.32,$33.24,18.09
2018-09-30,542.54,$28.04,19.35
2018-06-30,547.62,$22.58,24.26
2018-03-31,561.49,$20.99,26.75
2017-12-31,519.38,$38.00,13.67
2017-09-30,543.02,$47.89,11.34
2017-06-30,555.34,$31.51,17.62
2017-03-31,554.07,$43.25,12.81
2016-12-31,471.95,$41.89,11.27
2016-09-30,442.6,$22.87,19.35
2016-06-30,449.04,$28.07,16.0
2016-03-31,439.15,$25.25,17.39
2015-12-31,442.6,$-4.28,0.0
2015-09-30,525.55,$35.51,14.8
2015-06-30,577.31,$71.13,8.12
2015-03-31,562.24,$66.06,8.51
2014-12-31,461.4,$109.86,4.2
2014-09-30,372.35,$92.89,4.01
2014-06-30,380.81,$67.46,5.64
2014-03-31,371.76,$69.72,5.33
2013-12-31,349.02,$47.99,7.27
2013-09-30,321.68,$54.63,5.89
2013-06-30,254.55,$51.68,4.93
2013-03-31,235.2,$45.42,5.18
2012-12-31,192.16,$45.39,4.23
2012-09-30,184.8,$33.04,5.59
2012-06-30,189.03,$26.14,7.23
2012-03-31,187.69,$32.02,5.86
2011-12-31,188.15,$28.60,6.58
2011-09-30,162.13,$24.82,6.53
2011-06-30,206.61,$40.11,5.15
2011-03-31,214.58,$39.65,5.41
2010-12-31,214.4,$54.75,3.92
2010-09-30,193.66,$52.84,3.67
2010-06-30,197.95,$52.70,3.76
2010-03-31,213.31,$53.46,3.99
2009-12-31,210.05,$42.42,4.95
