Harmony Gold Mining Price to Free Cash Flow Ratio Historical Data,Harmony Gold Mining Price to Free Cash Flow Ratio Historical Data,Harmony Gold Mining Price to Free Cash Flow Ratio Historical Data,Harmony Gold Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.45,,3948.28
2015-12-31,0.85,$0.00,0.0
2015-09-30,0.55,$-0.38,0.0
2015-06-30,1.22,$-0.16,0.0
2015-03-31,1.58,$0.25,6.26
2014-12-31,1.72,$-0.07,0.0
2014-09-30,1.97,$0.24,8.04
2014-06-30,2.7,$-0.09,0.0
2014-03-31,2.78,$-0.09,0.0
2013-12-31,2.3,$-0.49,0.0
2013-09-30,3.08,$-0.47,0.0
2013-06-30,3.47,$-0.23,0.0
2013-03-31,5.83,$-0.16,0.0
2012-12-31,8.08,$0.20,40.88
2012-09-30,7.58,$0.35,21.81
2012-06-30,8.41,$0.32,26.15
2012-03-31,9.78,$0.36,26.87
2011-12-31,10.37,$0.23,44.67
2011-09-30,10.45,$-0.09,0.0
2011-06-30,11.71,$-0.24,0.0
2011-03-31,13.17,$-0.27,0.0
2010-12-31,11.1,$-0.28,0.0
2010-09-30,10.0,$-0.38,0.0
2010-06-30,9.3,$-0.59,0.0
2010-03-31,8.34,$-1.22,0.0
2009-12-31,8.95,$-0.66,0.0
