Littelfuse Price to Free Cash Flow Ratio Historical Data,Littelfuse Price to Free Cash Flow Ratio Historical Data,Littelfuse Price to Free Cash Flow Ratio Historical Data,Littelfuse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,262.24,,18.22
2024-06-30,254.93,$14.39,17.71
2024-03-31,241.12,$15.37,15.69
2023-12-31,265.49,$14.82,17.91
2023-09-30,244.73,$13.16,18.59
2023-06-30,287.55,$12.68,22.68
2023-03-31,264.02,$12.88,20.5
2022-12-31,216.36,$12.65,17.1
2022-09-30,194.74,$13.96,13.95
2022-06-30,248.37,$12.49,19.89
2022-03-31,243.35,$11.31,21.51
2021-12-31,306.39,$11.96,25.62
2021-09-30,265.64,$10.86,24.47
2021-06-30,247.2,$9.31,26.55
2021-03-31,256.08,$8.76,29.24
2020-12-31,246.17,$8.40,29.3
2020-09-30,171.07,$7.67,22.29
2020-06-30,164.17,$8.15,20.13
2020-03-31,127.98,$8.11,15.77
2019-12-31,183.02,$7.64,23.95
2019-09-30,169.19,$7.79,21.71
2019-06-30,168.3,$9.05,18.6
2019-03-31,173.16,$9.19,18.84
2018-12-31,162.35,$10.57,15.36
2018-09-30,186.9,$10.83,17.26
2018-06-30,215.08,$10.02,21.46
2018-03-31,195.89,$10.52,18.63
2017-12-31,185.82,$8.91,20.87
2017-09-30,183.67,$8.82,20.82
2017-06-30,154.4,$8.07,19.14
2017-03-31,149.33,$6.35,23.52
2016-12-31,141.44,$5.90,23.96
2016-09-30,119.77,$4.80,24.98
2016-06-30,109.61,$4.49,24.43
2016-03-31,113.87,$4.90,23.23
2015-12-31,98.73,$5.37,18.4
2015-09-30,83.85,$5.06,16.56
2015-06-30,87.04,$5.59,15.57
2015-03-31,90.94,$5.58,16.3
2014-12-31,88.22,$5.32,16.57
2014-09-30,77.53,$4.71,16.47
2014-06-30,84.37,$3.86,21.84
2014-03-31,84.78,$-0.51,0.0
2013-12-31,83.94,$0.79,106.51
2013-09-30,70.47,$1.49,47.29
2013-06-30,67.03,$0.88,75.95
2012-12-31,55.12,$4.40,12.52
2012-09-30,50.31,$7.05,7.14
2012-06-30,50.44,$5.84,8.64
2012-03-31,55.42,$6.51,8.51
2011-12-31,37.86,$7.47,5.07
2013-03-31,60.79,$3.71,16.38
2011-09-30,35.28,$4.28,8.25
2011-06-30,51.31,$4.43,11.6
2011-03-31,49.77,$3.90,12.75
2010-12-31,40.9,$3.90,10.49
2010-09-30,37.85,$4.15,9.12
2010-06-30,27.38,$2.49,11.0
2010-03-31,32.92,$1.55,21.27
2009-12-31,27.85,$0.72,38.85
