Thoughtworks Holding Price to Free Cash Flow Ratio Historical Data,Thoughtworks Holding Price to Free Cash Flow Ratio Historical Data,Thoughtworks Holding Price to Free Cash Flow Ratio Historical Data,Thoughtworks Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.42,,0.0
2024-06-30,2.84,$-0.09,0.0
2024-03-31,2.53,$-0.03,0.0
2023-12-31,4.81,$0.13,37.76
2023-09-30,4.08,$0.19,21.75
2023-06-30,7.55,$0.27,28.49
2023-03-31,7.36,$0.35,21.26
2022-12-31,10.19,$0.21,48.41
2022-09-30,10.49,$0.18,59.67
2022-06-30,14.11,$0.39,35.75
