Victoria's Secret Price to Free Cash Flow Ratio Historical Data,Victoria's Secret Price to Free Cash Flow Ratio Historical Data,Victoria's Secret Price to Free Cash Flow Ratio Historical Data,Victoria's Secret Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.63,,10.05
2024-07-31,17.75,$2.75,6.45
2024-04-30,17.62,$1.73,10.16
2024-01-31,26.05,$1.68,15.47
2023-10-31,17.88,$2.61,6.85
2023-07-31,20.49,$2.43,8.43
2023-04-30,31.01,$3.13,9.9
2023-01-31,42.15,$3.25,12.97
2022-10-31,37.6,$-0.13,0.0
2022-07-31,36.96,$6.28,5.89
