Sterling Check Price to Free Cash Flow Ratio Historical Data,Sterling Check Price to Free Cash Flow Ratio Historical Data,Sterling Check Price to Free Cash Flow Ratio Historical Data,Sterling Check Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.99,,18.99
2024-06-30,14.8,$0.89,16.55
2024-03-31,16.08,$0.95,16.97
2023-12-31,13.92,$1.03,13.5
2023-09-30,12.62,$0.99,12.68
2023-06-30,12.26,$1.05,11.67
2023-03-31,11.15,$1.11,10.07
2022-12-31,15.47,$1.01,15.32
2022-09-30,17.64,$1.02,17.27
2022-06-30,16.31,$1.03,15.88
