RXO INC Price to Free Cash Flow Ratio Historical Data,RXO INC Price to Free Cash Flow Ratio Historical Data,RXO INC Price to Free Cash Flow Ratio Historical Data,RXO INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.29,,0.0
2024-06-30,26.15,$-0.28,0.0
2024-03-31,21.87,$-0.08,0.0
2023-12-31,23.26,$0.21,111.13
2023-09-30,19.73,$2.40,8.22
