Burford Capital Price to Free Cash Flow Ratio Historical Data,Burford Capital Price to Free Cash Flow Ratio Historical Data,Burford Capital Price to Free Cash Flow Ratio Historical Data,Burford Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.84,,0.0
2024-06-30,13.05,$-0.43,0.0
2024-03-31,15.97,$-0.93,0.0
2023-12-31,15.6,$-1.25,0.0
2023-09-30,14.0,$-2.14,0.0
2023-06-30,12.18,$-3.12,0.0
2023-03-31,11.06,$-2.18,0.0
2022-12-31,8.15,$-1.87,0.0
2022-09-30,7.5,$-0.89,0.0
