Docebo Price to Free Cash Flow Ratio Historical Data,Docebo Price to Free Cash Flow Ratio Historical Data,Docebo Price to Free Cash Flow Ratio Historical Data,Docebo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.0,,54.91
2024-06-30,38.63,$0.84,46.11
2024-03-31,48.98,$0.79,62.23
2023-12-31,48.38,$0.46,106.28
2023-09-30,40.52,$0.33,122.94
2023-06-30,39.43,$0.17,236.11
2023-03-31,40.74,$0.04,1089.3
2022-12-31,33.14,$0.04,933.52
2022-09-30,27.01,$-0.03,0.0
2022-06-30,28.67,$-0.08,0.0
2022-03-31,51.82,$-0.13,0.0
2021-12-31,67.36,$-0.13,0.0
2021-09-30,72.79,$-0.12,0.0
