Academy Sports And Outdoors Price to Free Cash Flow Ratio Historical Data,Academy Sports And Outdoors Price to Free Cash Flow Ratio Historical Data,Academy Sports And Outdoors Price to Free Cash Flow Ratio Historical Data,Academy Sports And Outdoors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.38,,10.09
2024-07-31,54.07,$5.49,9.85
2024-04-30,58.3,$6.32,9.22
2024-01-31,62.73,$4.26,14.72
2023-10-31,44.84,$4.45,10.07
2023-07-31,59.79,$4.55,13.13
2023-04-30,63.52,$4.54,14.01
2023-01-31,58.42,$5.29,11.05
2022-10-31,44.03,$4.30,10.25
2022-07-31,43.03,$4.94,8.72
2022-04-30,37.28,$5.14,7.25
2022-01-31,38.74,$6.34,6.11
2021-10-31,42.6,$6.43,6.62
2021-07-31,36.89,$15.79,2.34
