DigitalOcean Holdings Price to Free Cash Flow Ratio Historical Data,DigitalOcean Holdings Price to Free Cash Flow Ratio Historical Data,DigitalOcean Holdings Price to Free Cash Flow Ratio Historical Data,DigitalOcean Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.81,,35.35
2024-06-30,34.75,$1.24,28.04
2024-03-31,38.18,$1.26,30.36
2023-12-31,36.69,$1.12,32.79
2023-09-30,24.03,$1.14,21.07
2023-06-30,40.14,$1.07,37.66
2023-03-31,39.17,$0.82,47.54
2022-12-31,25.47,$0.75,34.04
2022-09-30,36.17,$0.44,81.5
2022-06-30,41.36,$0.41,100.95
2022-03-31,57.85,$0.42,138.9
2021-12-31,80.33,$0.32,248.47
