MSA Safety Incorporporated Price to Free Cash Flow Ratio Historical Data,MSA Safety Incorporporated Price to Free Cash Flow Ratio Historical Data,MSA Safety Incorporporated Price to Free Cash Flow Ratio Historical Data,MSA Safety Incorporporated Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,173.37,,20.23
2024-06-30,187.16,$8.57,21.84
2024-03-31,192.52,$9.85,19.55
2023-12-31,167.45,$1.34,124.94
2023-09-30,155.92,$-1.42,0.0
2023-06-30,171.6,$-2.87,0.0
2023-03-31,131.26,$-5.04,0.0
2022-12-31,141.29,$2.88,49.05
2022-09-30,106.73,$3.33,32.01
2022-06-30,117.83,$2.70,43.66
2022-03-31,128.66,$3.31,38.91
2021-12-31,145.9,$3.80,38.36
2021-09-30,140.41,$4.43,31.73
2021-06-30,159.13,$4.03,39.53
2021-03-31,143.8,$4.76,30.22
2020-12-31,142.83,$4.02,35.49
2020-09-30,127.89,$3.61,35.47
2020-06-30,108.71,$4.28,25.4
2020-03-31,95.79,$3.56,26.94
2019-12-31,119.25,$3.28,36.35
2019-09-30,102.62,$3.28,31.28
2019-06-30,98.71,$5.10,19.35
2019-03-31,96.46,$5.56,17.35
2018-12-31,87.62,$6.02,14.56
2018-09-30,98.59,$5.13,19.22
2018-06-30,88.89,$3.24,27.43
2018-03-31,76.49,$3.24,23.61
2017-12-31,70.9,$5.34,13.28
2017-09-30,72.4,$7.09,10.21
2017-06-30,73.53,$6.49,11.33
2017-03-31,63.75,$5.85,10.89
2016-12-31,62.23,$3.36,18.53
2016-09-30,51.8,$1.78,29.04
2016-06-30,46.6,$1.22,38.05
2016-03-31,42.6,$1.32,32.15
2015-12-31,37.99,$0.72,52.99
2015-09-30,34.68,$1.14,30.46
2015-06-30,41.81,$2.01,20.83
2015-03-31,42.69,$1.34,31.85
2014-12-31,45.14,$2.04,22.17
2014-09-30,41.78,$1.66,25.16
2014-06-30,48.34,$1.91,25.32
2014-03-31,47.65,$2.11,22.55
2013-12-31,42.81,$2.02,21.2
2013-09-30,42.88,$2.62,16.39
2013-06-30,38.45,$2.14,17.93
2013-03-31,40.74,$3.01,13.52
2012-12-31,34.86,$3.74,9.33
2012-09-30,29.98,$3.63,8.26
2012-06-30,32.11,$3.57,8.99
2012-03-31,32.56,$2.60,12.54
2011-12-31,26.06,$2.00,13.05
2011-09-30,21.05,$1.30,16.24
2011-06-30,28.89,$1.05,27.43
2011-03-31,28.18,$0.70,40.24
2010-12-31,23.75,$0.34,70.43
2010-09-30,20.49,$0.53,38.79
2010-06-30,18.54,$1.10,16.86
2010-03-31,20.73,$2.12,9.76
2009-12-31,19.47,$2.79,6.97
