Braze Price to Free Cash Flow Ratio Historical Data,Braze Price to Free Cash Flow Ratio Historical Data,Braze Price to Free Cash Flow Ratio Historical Data,Braze Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.26,,345.83
2024-07-31,44.06,$0.09,503.54
2024-04-30,41.9,$-0.18,0.0
2024-01-31,54.05,$-0.07,0.0
2023-10-31,42.58,$-0.05,0.0
2023-07-31,45.46,$-0.29,0.0
2023-04-30,29.4,$-0.36,0.0
2023-01-31,32.0,$-0.41,0.0
2022-10-31,29.61,$-1.53,0.0
