Aurora Innovation Price to Free Cash Flow Ratio Historical Data,Aurora Innovation Price to Free Cash Flow Ratio Historical Data,Aurora Innovation Price to Free Cash Flow Ratio Historical Data,Aurora Innovation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.2,,0.0
2024-06-30,2.77,$-0.41,0.0
2024-03-31,2.82,$-0.45,0.0
2023-12-31,4.37,$-0.46,0.0
2023-09-30,2.35,$-0.46,0.0
2023-06-30,2.94,$-0.53,0.0
2023-03-31,1.39,$-0.45,0.0
2022-12-31,1.21,$-0.46,0.0
2022-09-30,2.21,$-0.48,0.0
2022-06-30,1.91,$-0.65,0.0
2022-03-31,5.59,$-1.11,0.0
