Orla Mining Price to Free Cash Flow Ratio Historical Data,Orla Mining Price to Free Cash Flow Ratio Historical Data,Orla Mining Price to Free Cash Flow Ratio Historical Data,Orla Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.7,,16.08
2024-06-30,3.84,$0.29,13.14
2024-03-31,3.79,$0.24,15.84
2023-12-31,3.25,$0.14,22.78
2023-09-30,3.57,$0.17,20.86
2023-06-30,4.2,$0.17,24.99
2023-03-31,4.75,$0.19,25.03
2022-12-31,4.04,$0.26,15.3
2022-09-30,3.26,$0.07,47.38
2022-06-30,2.75,$-0.08,0.0
2022-03-31,4.79,$-0.26,0.0
2021-12-31,3.82,$-0.50,0.0
