Triple Flag Precious Metals Price to Free Cash Flow Ratio Historical Data,Triple Flag Precious Metals Price to Free Cash Flow Ratio Historical Data,Triple Flag Precious Metals Price to Free Cash Flow Ratio Historical Data,Triple Flag Precious Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.79,,25.65
2024-06-30,15.5,$0.65,23.68
2024-03-31,14.45,$0.57,25.48
2023-12-31,13.31,$-0.18,0.0
2023-09-30,13.07,$-0.23,0.0
2023-06-30,13.78,$0.04,309.66
