Affirm Holdings Price to Free Cash Flow Ratio Historical Data,Affirm Holdings Price to Free Cash Flow Ratio Historical Data,Affirm Holdings Price to Free Cash Flow Ratio Historical Data,Affirm Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.93,,46.8
2024-06-30,30.21,$0.94,32.19
2024-03-31,37.26,$0.89,41.67
2023-12-31,49.14,$0.10,498.38
2023-09-30,21.27,$-0.23,0.0
2023-06-30,15.33,$-0.37,0.0
2023-03-31,11.27,$-0.74,0.0
2022-12-31,9.67,$-0.63,0.0
2022-09-30,18.76,$-2.10,0.0
2022-06-30,18.06,$-0.88,0.0
2022-03-31,46.28,$-1.11,0.0
2021-12-31,100.56,$-1.74,0.0
