Genius Sports Price to Free Cash Flow Ratio Historical Data,Genius Sports Price to Free Cash Flow Ratio Historical Data,Genius Sports Price to Free Cash Flow Ratio Historical Data,Genius Sports Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.55,,0.0
2024-06-30,5.45,$-0.08,0.0
2024-03-31,5.71,$-0.13,0.0
2023-12-31,6.18,$-0.15,0.0
2023-09-30,5.33,$-0.25,0.0
2023-06-30,6.19,$-0.30,0.0
2023-03-31,4.98,$-0.18,0.0
2022-12-31,3.57,$-0.23,0.0
2022-09-30,3.67,$-0.41,0.0
2022-06-30,2.25,$-0.53,0.0
2022-03-31,4.6,$-0.83,0.0
