Adeia Price to Free Cash Flow Ratio Historical Data,Adeia Price to Free Cash Flow Ratio Historical Data,Adeia Price to Free Cash Flow Ratio Historical Data,Adeia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.47,,9.5
2024-06-30,11.19,$1.31,8.52
2024-03-31,10.92,$1.35,8.07
2023-12-31,12.39,$1.32,9.39
2023-09-30,10.68,$2.49,4.29
