First Advantage Price to Free Cash Flow Ratio Historical Data,First Advantage Price to Free Cash Flow Ratio Historical Data,First Advantage Price to Free Cash Flow Ratio Historical Data,First Advantage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.86,,21.87
2024-06-30,16.07,$0.91,17.69
2024-03-31,16.22,$0.93,17.53
2023-12-31,16.57,$0.92,17.93
2023-09-30,13.79,$1.01,13.6
2023-06-30,15.41,$1.09,14.2
2023-03-31,13.96,$1.21,11.52
2022-12-31,13.0,$1.21,10.71
2022-09-30,12.83,$1.24,10.36
2022-06-30,12.67,$1.08,11.71
2022-03-31,20.19,$1.10,18.27
