Bowlero Price to Free Cash Flow Ratio Historical Data,Bowlero Price to Free Cash Flow Ratio Historical Data,Bowlero Price to Free Cash Flow Ratio Historical Data,Bowlero Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.55,,0.0
2024-06-30,14.49,$-0.88,0.0
2024-03-31,13.7,$-0.27,0.0
2023-12-31,14.16,$-0.23,0.0
2023-06-30,11.64,$0.43,27.15
2023-03-31,16.95,$0.75,22.65
2022-12-31,13.48,$0.83,16.21
2022-09-30,12.31,$0.34,36.24
2022-06-30,10.59,$0.21,50.94
2022-03-31,10.65,$0.22,47.38
2021-12-31,10.0,$-0.41,0.0
