Instructure Holdings Price to Free Cash Flow Ratio Historical Data,Instructure Holdings Price to Free Cash Flow Ratio Historical Data,Instructure Holdings Price to Free Cash Flow Ratio Historical Data,Instructure Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.57,,29.76
2024-06-30,23.41,$0.79,29.56
2024-03-31,21.38,$1.02,20.89
2023-12-31,27.01,$1.10,24.59
2023-09-30,25.4,$0.97,26.1
2023-06-30,25.16,$0.97,26.02
2023-03-31,25.9,$0.85,30.56
2022-12-31,23.44,$0.94,24.81
2022-09-30,22.28,$0.81,27.63
2022-06-30,22.7,$0.33,68.37
