Centerspace Price to Free Cash Flow Ratio Historical Data,Centerspace Price to Free Cash Flow Ratio Historical Data,Centerspace Price to Free Cash Flow Ratio Historical Data,Centerspace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,70.04,,19.86
2024-06-30,67.63,$3.53,19.18
2024-03-31,57.14,$5.48,10.43
2023-12-31,58.2,$12.37,4.71
2023-09-30,60.26,$14.45,4.17
2023-06-30,60.63,$5.57,10.88
2023-03-31,53.34,$3.81,14.01
2022-12-31,57.28,$-4.56,0.0
2022-09-30,64.92,$-8.00,0.0
2022-06-30,78.65,$-11.13,0.0
2022-03-31,94.63,$-7.11,0.0
2021-12-31,106.17,$-11.65,0.0
2021-09-30,90.47,$-8.73,0.0
2021-06-30,74.98,$-6.64,0.0
2021-03-31,64.62,$-10.56,0.0
2020-12-31,67.13,$-7.49,0.0
2020-09-30,61.93,$1.63,38.02
2020-06-30,66.99,$5.96,11.25
2020-03-31,52.27,$6.71,7.79
2019-12-31,67.99,$6.79,10.02
2019-09-30,70.03,$-7.02,0.0
2019-06-30,54.49,$1.15,47.49
2019-03-31,55.0,$-5.84,0.0
2018-12-31,44.51,$6.94,6.41
2018-10-31,4.86,$5.25,0.92
2018-09-30,5.35,$-19.98,0.0
2018-07-31,4.84,$-19.97,0.0
2018-03-31,4.58,$-35.01,0.0
2018-01-31,5.01,$-29.73,0.0
2017-10-31,5.1,$-9.06,0.0
2017-07-31,5.43,$-3.68,0.0
2017-04-30,5.1,$0.97,5.25
2017-01-31,5.49,$13.45,0.41
2016-10-31,5.13,$0.97,5.28
2016-07-31,5.47,$-6.59,0.0
2016-04-30,4.98,$-9.10,0.0
2016-01-31,5.39,$-13.10,0.0
2015-10-31,6.71,$-9.10,0.0
2015-07-31,5.85,$-2.46,0.0
2015-04-30,5.82,$-3.13,0.0
2015-01-31,6.57,$-2.72,0.0
2018-06-30,4.88,$-3.88,0.0
2014-10-31,6.59,$-4.62,0.0
2014-07-31,6.68,$-6.70,0.0
2014-04-30,6.74,$-15.52,0.0
2014-01-31,6.62,$-3.42,0.0
2013-10-31,6.47,$-5.92,0.0
2013-07-31,6.38,$-1.99,0.0
2013-04-30,7.07,$-4.10,0.0
2013-01-31,6.71,$-2.73,0.0
2012-10-31,5.95,$-4.10,0.0
2012-07-31,5.67,$-8.89,0.0
2012-04-30,4.93,$-3.50,0.0
2012-01-31,4.99,$-10.69,0.0
2011-10-31,4.89,$-5.16,0.0
2011-04-30,6.0,$0.02,261.88
2011-01-31,5.59,$1.60,3.49
2010-10-31,5.4,$0.02,235.84
2010-07-31,5.09,$0.54,9.47
2010-04-30,5.15,$0.09,56.04
2010-01-31,5.06,$-2.73,0.0
2009-10-31,4.76,$1.22,3.9
2018-04-30,4.71,0,0.0
2009-07-31,5.2,$0.25,20.63
