Sprinklr Price to Free Cash Flow Ratio Historical Data,Sprinklr Price to Free Cash Flow Ratio Historical Data,Sprinklr Price to Free Cash Flow Ratio Historical Data,Sprinklr Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.22,,24.81
2024-07-31,9.83,$0.29,33.78
2024-04-30,11.69,$0.25,45.88
2024-01-31,12.48,$0.18,70.07
2023-10-31,13.59,$0.20,68.81
2023-07-31,14.04,$0.14,102.26
2023-04-30,11.96,$0.11,106.12
2023-01-31,9.94,$0.04,252.93
2022-10-31,9.25,$-0.15,0.0
2022-07-31,11.34,$-0.11,0.0
2022-04-30,13.65,$-0.26,0.0
