Compass Price to Free Cash Flow Ratio Historical Data,Compass Price to Free Cash Flow Ratio Historical Data,Compass Price to Free Cash Flow Ratio Historical Data,Compass Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.72,,195.22
2024-06-30,3.6,$0.03,122.87
2024-03-31,3.6,$0.06,56.6
2023-12-31,3.76,$-0.08,0.0
2023-09-30,2.9,$-0.30,0.0
2023-06-30,3.5,$-0.49,0.0
2023-03-31,3.23,$-0.66,0.0
2022-12-31,2.33,$-0.85,0.0
2022-09-30,2.32,$-0.81,0.0
2022-06-30,3.61,$-0.68,0.0
2022-03-31,7.86,$-0.56,0.0
