MongoDB Price to Free Cash Flow Ratio Historical Data,MongoDB Price to Free Cash Flow Ratio Historical Data,MongoDB Price to Free Cash Flow Ratio Historical Data,MongoDB Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,290.79,,168.38
2024-04-30,365.18,$1.73,211.45
2024-01-31,400.52,$1.62,247.28
2023-10-31,344.59,$1.25,275.34
2023-07-31,423.4,$0.65,652.79
2023-04-30,239.96,$0.33,729.81
2023-01-31,214.21,$-0.29,0.0
2022-10-31,183.03,$-0.38,0.0
2022-07-31,312.47,$-0.39,0.0
2022-04-30,354.93,$-0.04,0.0
2022-01-31,405.11,$-0.02,0.0
2021-10-31,521.29,$-0.63,0.0
2021-07-31,358.92,$-0.75,0.0
2021-04-30,297.46,$-0.64,0.0
2021-01-31,369.61,$-0.92,0.0
2020-10-31,228.47,$-0.77,0.0
2020-07-31,229.08,$-0.76,0.0
2020-04-30,162.13,$-0.77,0.0
2020-01-31,163.91,$-0.59,0.0
2019-10-31,127.77,$-0.66,0.0
2019-07-31,143.22,$-0.62,0.0
2019-04-30,140.92,$-0.72,0.0
2019-01-31,92.36,$-0.94,0.0
2018-10-31,81.5,$-0.44,0.0
2018-07-31,54.11,$-2.50,0.0
