Cipher Mining Price to Free Cash Flow Ratio Historical Data,Cipher Mining Price to Free Cash Flow Ratio Historical Data,Cipher Mining Price to Free Cash Flow Ratio Historical Data,Cipher Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.82,,0.0
2024-06-30,4.15,$-0.68,0.0
2024-03-31,5.15,$-0.60,0.0
2023-12-31,4.13,$-0.59,0.0
2023-09-30,2.33,$-0.13,0.0
2023-06-30,2.86,$-0.51,0.0
2023-03-31,2.33,$-0.69,0.0
2022-12-31,0.56,$-1.00,0.0
2022-09-30,1.26,$-1.59,0.0
2022-06-30,1.37,$-1.42,0.0
2022-03-31,3.64,$-0.66,0.0
2021-12-31,4.63,$-0.69,0.0
2021-03-31,10.83,$-0.00,0.0
