SEMrush Holdings Price to Free Cash Flow Ratio Historical Data,SEMrush Holdings Price to Free Cash Flow Ratio Historical Data,SEMrush Holdings Price to Free Cash Flow Ratio Historical Data,SEMrush Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.24,,57.74
2024-06-30,13.39,$0.23,58.4
2024-03-31,13.26,$0.12,111.99
2023-12-31,13.66,$0.00,0.0
2023-09-30,8.5,$-0.13,0.0
2023-06-30,9.57,$-0.18,0.0
2023-03-31,10.05,$-0.20,0.0
2022-12-31,8.14,$-0.11,0.0
2022-09-30,11.21,$-0.00,0.0
2022-06-30,12.93,$0.07,184.19
2022-03-31,11.94,$0.21,56.83
2021-12-31,20.85,$0.22,92.83
