Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,523.21,,30.26
2024-06-30,435.95,$17.29,25.21
2024-03-31,476.56,$13.88,34.34
2023-12-31,464.2,$13.82,33.6
2023-09-30,434.76,$13.88,31.33
2023-06-30,448.23,$15.46,29.0
2023-03-31,452.12,$-10.08,0.0
2022-12-31,532.31,$0.90,592.97
2022-09-30,457.36,$-3.95,0.0
2022-06-30,463.72,$-5.98,0.0
2021-12-31,372.26,$13.90,26.79
2021-09-30,344.84,$32.63,10.57
2021-06-30,346.49,$22.05,15.72
2021-03-31,307.24,$23.19,13.25
2020-12-31,287.85,$37.16,7.75
2022-03-31,431.76,$6.53,66.09
2020-09-30,296.61,$22.93,12.94
2020-06-30,287.84,$21.71,13.26
2020-03-31,282.04,$17.34,16.26
2019-12-31,319.49,$17.84,17.91
2019-09-30,346.82,$17.09,20.29
2019-06-30,297.93,$14.93,19.96
2019-03-31,247.51,$10.84,22.83
2018-12-31,223.9,$14.77,15.16
2018-09-30,288.83,$11.36,25.42
2018-06-30,278.9,$12.44,22.42
2018-03-31,315.3,$10.23,30.84
2017-12-31,276.29,$9.60,28.79
2017-09-30,258.16,$8.77,29.45
2017-06-30,229.48,$8.01,28.67
2017-03-31,211.79,$8.72,24.29
2016-12-31,206.34,$10.49,19.67
2016-09-30,189.13,$11.54,16.39
2016-06-30,195.67,$10.57,18.51
2016-03-31,173.47,$-2.71,0.0
2015-12-31,164.82,$4.92,33.53
2015-09-30,144.25,$1.07,135.36
2015-06-30,137.23,$0.75,182.03
2014-12-31,126.34,$9.58,13.19
2014-09-30,112.39,$16.81,6.68
2014-06-30,101.48,$9.03,11.24
2014-03-31,104.06,$10.68,9.74
2013-12-31,96.17,$13.95,6.89
2015-03-31,138.56,$0.89,156.03
2013-09-30,79.51,$8.34,9.53
2013-06-30,68.66,$7.62,9.01
2013-03-31,57.73,$9.67,5.97
2012-12-31,55.16,$9.11,6.05
2012-09-30,53.76,$9.59,5.61
2012-06-30,51.21,$9.56,5.35
2012-03-31,48.57,$5.86,8.29
2011-12-31,46.12,$5.76,8.0
2011-09-30,40.76,$5.31,7.68
2011-06-30,53.66,$5.21,10.3
2011-03-31,48.15,$7.46,6.46
2010-12-31,44.84,$6.20,7.23
2010-09-30,41.65,$5.32,7.83
2010-06-30,37.08,$3.73,9.94
2010-03-31,44.32,$4.07,10.89
2009-12-31,37.48,$5.13,7.3
