Janus Price to Free Cash Flow Ratio Historical Data,Janus Price to Free Cash Flow Ratio Historical Data,Janus Price to Free Cash Flow Ratio Historical Data,Janus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.24,,9.49
2024-06-30,12.63,$1.08,11.71
2024-03-31,15.13,$1.20,12.63
2023-12-31,13.05,$1.34,9.77
2023-09-30,10.7,$1.08,9.95
2023-06-30,10.66,$0.88,12.14
2023-03-31,9.86,$0.70,14.18
2022-12-31,9.52,$0.54,17.5
2022-09-30,8.92,$0.57,15.59
2022-06-30,9.03,$0.26,34.97
2022-03-31,9.0,$0.65,13.77
